id,destination_airport,destination_airport_name,destination_city,destination_state,destination_latitude,destination_longitude,mean_departure_delay,flight_count,flight_count_delay_ratio
190,LWS,Lewiston-Nez Perce County Airport,Lewiston,ID,46.3745,-117.01539,-2.49375,640,-256.64160401002505
191,MAF,Midland International Airport,Midland,TX,31.942529999999998,-102.20191,8.695294712876297,8123,934.1834024292675
192,MBS,MBS International Airport,Saginaw,MI,43.53291,-84.07965,8.434806629834254,1862,220.75194864740945
193,MCI,Kansas City International Airport,Kansas City,MO,39.29761,-94.71391,9.934184064355488,42212,4249.16628547879
194,MCO,Orlando International Airport,Orlando,FL,28.42889000000001,-81.31603,10.385662256390415,119962,11550.731868464722
195,MDT,Harrisburg International Airport,Harrisburg,PA,40.1935,-76.7634,10.118014184397163,3571,352.93486794145684
196,MDW,Chicago Midway International Airport,Chicago,IL,41.78598,-87.75242,9.792716310336463,88410,9028.138587725754
197,MEI,Meridian Regional Airport,Meridian,MS,32.33313,-88.75121,10.792857142857143,992,91.91264063534084
198,MEM,Memphis International Airport,Memphis,TN,35.04242,-89.97667,9.184593295461639,16287,1773.2957220923279
199,MFE,McAllen-Miller International Airport (McAllen Miller International),McAllen,TX,26.175829999999998,-98.23861,10.053993250843645,3646,362.64197807115687
200,MFR,Rogue Valley International Airport,Medford,OR,42.37423,-122.8735,8.421111525550169,2714,322.2852460468618
201,MGM,Montgomery Regional Airport,Montgomery,AL,32.30064,-86.39398,9.489807804309843,3480,366.7092181170983
202,MHK,Manhattan Regional Airport,Manhattan,KS,39.14097,-96.67083000000001,9.102668213457077,1785,196.09634869049893
203,MHT,Manchester-Boston Regional Airport,Manchester,NH,42.93452,-71.43706,11.468005952380953,6871,599.1451372218257
204,MIA,Miami International Airport,Miami,FL,25.79325,-80.29056,9.635825503355704,75257,7810.124827788914
205,MKE,General Mitchell International Airport,Milwaukee,WI,42.94722,-87.89658,9.112005008608547,32477,3564.199094416369
206,MKG,Muskegon County Airport,Muskegon,MI,43.16949,-86.23822,8.01457725947522,729,90.95925791196798
207,MLB,Melbourne International Airport,Melbourne,FL,28.10275,-80.64581,6.961218836565097,1448,208.00955033824116
208,MLI,Quad City International Airport,Moline,IL,41.44853,-90.50754,9.490240811153358,4085,430.4421859558215
209,MLU,Monroe Regional Airport,Monroe,LA,32.510870000000004,-92.03769,7.99052731291443,3240,405.48012329091915
210,MMH,Mammoth Yosemite Airport,Mammoth Lakes,CA,37.62405,-118.83776999999999,8.82638888888889,156,17.67427222659323
211,MOB,Mobile Regional Airport,Mobile,AL,30.69142,-88.24283,7.575130499627144,5455,720.1196072158098
212,MOT,Minot International Airport,Minot,ND,48.25938,-101.28033,5.63921568627451,2068,366.7176634214186
213,MQT,Sawyer International Airport,Marquette,MI,46.35364000000001,-87.39536,18.273846153846154,331,18.113318740528708
214,MRY,Monterey Regional Airport (Monterey Peninsula Airport),Monterey,CA,36.58698,-121.84295,6.856221792392005,3215,468.917152529622
215,MSN,Dane County Regional Airport,Madison,WI,43.13986,-89.33751,8.044538160872248,9966,1238.8529708857038
216,MSO,Missoula International Airport,Missoula,MT,46.916309999999996,-114.09056000000001,4.217741935483871,2247,532.7495219885277
217,MSP,Minneapolis-Saint Paul International Airport,Minneapolis,MN,44.88055,-93.21692,7.553081882762128,122744,16250.849905404848
218,MSY,Louis Armstrong New Orleans International Airport,New Orleans,LA,29.99339,-90.25803,9.753183805360198,42441,4351.50211940793
219,MTJ,Montrose Regional Airport,Montrose,CO,38.50887,-107.89383000000001,11.961616161616162,1006,84.1023475764229
220,MVY,Martha's Vineyard Airport,Marthas Vineyard,MA,41.393029999999996,-70.61433000000002,9.097222222222221,216,23.743511450381682
221,MYR,Myrtle Beach International Airport,Myrtle Beach,SC,33.67975,-78.92833,9.561557549150601,5337,558.1726588545306
222,OAJ,Albert J. Ellis Airport,Jacksonville,NC,34.829159999999995,-77.61214,10.695230396119644,1248,116.68752834467121
223,OAK,Oakland International Airport,Oakland,CA,37.72129,-122.22072,9.91610473771784,46294,4668.56706584711
224,OGG,Kahului Airport,Kahului,HI,20.89865,-156.43046,2.9495892123593497,22461,7614.958688445178
225,OKC,Will Rogers World Airport,Oklahoma City,OK,35.39309,-97.60073,10.982130623430006,17786,1619.5400154915449
226,OMA,Eppley Airfield,Omaha,NE,41.30252,-95.89416999999999,9.476951239806956,18253,1926.0413542416634
227,OME,Nome Airport,Nome,AK,64.5122,-165.44525,4.786324786324786,725,151.47321428571428
228,ONT,Ontario International Airport,Ontario,CA,34.056,-117.60118999999999,9.559832336553699,19721,2062.9022880028233
229,ORD,Chicago O'Hare International Airport,Chicago,IL,41.9796,-87.90446,10.549839978444735,313292,29696.37460284831
