id,origin_airport,origin_airport_name,origin_city,origin_state,origin_latitude,origin_longitude,mean_arrival_delay,flight_count,flight_count_delay_ratio
96,EAU,Chippewa Valley Regional Airport,Eau Claire,WI,44.86526,-91.48507,5.941091954022989,730,122.87303506650544
97,ECP,Northwest Florida Beaches International Airport,Panama City,FL,30.35531,-85.79911,0.09572346554398405,4545,47480.520833333336
98,EGE,Eagle County Regional Airport,Eagle,CO,39.64257,-106.9177,12.306988352745424,1245,101.16203609815453
99,EKO,Elko Regional Airport,Elko,NV,40.82493,-115.7917,-3.312280701754386,584,-176.31355932203388
100,ELM,Elmira/Corning Regional Airport,Elmira,NY,42.159909999999996,-76.89144,5.495004541326067,2246,408.73487603305784
101,ELP,El Paso International Airport,El Paso,TX,31.80667,-106.37781000000001,4.745065789473684,12939,2726.832582322357
102,ERI,Erie International Airport,Erie,PA,42.08202,-80.17622,7.705882352941177,803,104.20610687022901
103,ESC,Delta County Airport,Escanaba,MI,45.72267,-87.09373000000002,2.83993399339934,626,220.4276583381755
104,EUG,Eugene Airport (Mahlon Sweet Field),Eugene,OR,44.123259999999995,-123.21869,3.243110996652073,3960,1221.0497895656317
105,EVV,Evansville Regional Airport,Evansville,IN,38.03799,-87.53063,6.189129904947599,4233,683.9410490667087
106,EWN,Coastal Carolina Regional Airport (Craven County Regional),New Bern,NC,35.07297,-77.04294,5.358064516129033,630,117.57977122215532
107,EWR,Newark Liberty International Airport,Newark,NJ,40.6925,-74.16866,3.929040040829583,111308,28329.56621549173
108,EYW,Key West International Airport,Key West,FL,24.55611,-81.75956,2.1688187470109996,2124,979.3349503858875
109,FAI,Fairbanks International Airport,Fairbanks,AK,64.81368,-147.85967,0.4230277185501066,2360,5578.83064516129
110,FAR,Hector International Airport,Fargo,ND,46.91935,-96.81499000000001,3.9899802890932983,6220,1558.904944218023
111,FAT,Fresno Yosemite International Airport,Fresno,CA,36.77619,-119.71813999999999,8.406361356737495,7674,912.8801004788445
112,FAY,Fayetteville Regional Airport,Fayetteville,NC,34.99147,-78.88,5.759931895573212,1783,309.5522711597202
113,FCA,Glacier Park International Airport,Kalispell,MT,48.3114,-114.25506999999999,-2.739027843322322,2148,-784.2198483804273
114,FLG,Flagstaff Pulliam Airport,Flagstaff,AZ,35.13845,-111.67121999999999,6.211211778029445,1818,292.6965083416902
115,FLL,Fort Lauderdale-Hollywood International Airport,Ft. Lauderdale,FL,26.07258,-80.15275,3.445115875003194,79374,23039.57337862443
116,FNT,Bishop International Airport,Flint,MI,42.9655,-83.74346,-2.1987700853005356,5159,-2346.3117105738
117,FSD,Sioux Falls Regional Airport,Sioux Falls,SD,43.58135,-96.7417,8.646544025718878,5776,668.0125588697017
118,FSM,Fort Smith Regional Airport,Fort Smith,AR,35.33659,-94.36744,5.68953934740883,2151,378.06224171375555
119,FWA,Fort Wayne International Airport,Fort Wayne,IN,40.97847,-85.19515,6.345142243692968,5772,909.6722781490568
120,GCC,Gillette-Campbell County Airport,Gillette,WY,44.3489,-105.53936000000002,-4.55607476635514,1085,-238.14358974358976
121,GCK,Garden City Regional Airport,Garden City,KS,37.92752,-100.72440999999999,4.483500717360115,725,161.704
122,GEG,Spokane International Airport,Spokane,WA,47.619859999999996,-117.53383999999998,2.6739405747686313,10333,3864.3341955698047
123,GFK,Grand Forks International Airport,Grand Forks,ND,47.949259999999995,-97.17611,4.240049751243781,807,190.32795541214432
124,GGG,East Texas Regional Airport,Longview,TX,32.384859999999996,-94.71171,8.907324364723468,702,78.81154556133579
